Work setting,Occupation,2019 O*NET SOC Code,2019 O*NET SOC Title
Healthcare,Physician,29-1243.00,Pediatric Surgeons
Healthcare,Physician,29-1249.00,"Surgeons, All Other"
Healthcare,Physician,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other"
Healthcare,Physician,29-1299.01,Naturopathic Physicians
Healthcare,Physician,29-1299.02,Orthoptists
Healthcare,Physician assistant,29-1071.00,Physician Assistants
Healthcare,Physician assistant,29-1071.01,Anesthesiologist Assistants
Healthcare,Physician assistant,29-1081.00,Podiatrists
Healthcare,Physician assistant,29-9093.00,Surgical Assistants
Healthcare,Lab technician,11-9121.00,Natural Sciences Managers
Healthcare,Lab technician,11-9121.01,Clinical Research Coordinators
Healthcare,Lab technician,15-2099.01,Bioinformatics Technicians
Healthcare,Lab technician,29-2011.00,Medical and Clinical Laboratory Technologists
Healthcare,Lab technician,29-2011.01,Cytogenetic Technologists
Healthcare,Lab technician,29-2011.02,Cytotechnologists
Healthcare,Lab technician,29-2011.04,Histotechnologists
Healthcare,Lab technician,29-2012.00,Medical and Clinical Laboratory Technicians
Healthcare,Lab technician,29-2012.01,Histology Technicians
Healthcare,Lab technician,29-2031.00,Cardiovascular Technologists and Technicians
Healthcare,Lab technician,29-2032.00,Diagnostic Medical Sonographers
Healthcare,Lab technician,29-2033.00,Nuclear Medicine Technologists
Healthcare,Lab technician,29-2034.00,Radiologic Technologists and Technicians
Healthcare,Lab technician,29-2035.00,Magnetic Resonance Imaging Technologists
Healthcare,Lab technician,29-2036.00,Medical Dosimetrists
Healthcare,Lab technician,29-2042.00,Emergency Medical Technicians
Healthcare,Lab technician,29-2051.00,Dietetic Technicians
Healthcare,Lab technician,29-2052.00,Pharmacy Technicians
Healthcare,Lab technician,29-2053.00,Psychiatric Technicians
Healthcare,Lab technician,29-2055.00,Surgical Technologists
Healthcare,Lab technician,29-2056.00,Veterinary Technologists and Technicians
Healthcare,Lab technician,29-2057.00,Ophthalmic Medical Technicians
Healthcare,Lab technician,29-2099.00,"Health Technologists and Technicians, All Other"
Healthcare,Lab technician,29-2099.01,Neurodiagnostic Technologists
Healthcare,Lab technician,29-2099.05,Ophthalmic Medical Technologists
Healthcare,Lab technician,29-9021.00,Health Information Technologists and Medical Registrars
Healthcare,Lab technician,31-9099.02,Endoscopy Technicians
Healthcare,Lab technician,51-9081.00,Dental Laboratory Technicians
Healthcare,Lab technician,51-9082.00,Medical Appliance Technicians
Healthcare,Lab technician,51-9083.00,Ophthalmic Laboratory Technicians
Healthcare,Lab technician,29-1124.00,Radiation Therapists
Healthcare,Veterinary,29-1131.00,Veterinarians
Healthcare,Veterinary,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers
Healthcare,Phlebotomy,31-9097.00,Phlebotomists
Healthcare,Personal or home health care aide,11-9111.00,Medical and Health Services Managers
Healthcare,Personal or home health care aide,31-1122.00,Personal Care Aides
Healthcare,Personal or home health care aide,39-9099.00,"Personal Care and Service Workers, All Other"
Healthcare,Healthcare social worker,11-9151.00,Social and Community Service Managers
Healthcare,Healthcare social worker,21-1022.00,Healthcare Social Workers
Healthcare,Healthcare social worker,21-1023.00,Mental Health and Substance Abuse Social Workers
Healthcare,Healthcare social worker,21-1029.00,"Social Workers, All Other"
Healthcare,Healthcare social worker,21-1099.00,"Community and Social Service Specialists, All Other"
Healthcare,"Child, family, and school social worker",11-9151.00,Social and Community Service Managers
Healthcare,"Child, family, and school social worker",21-1013.00,Marriage and Family Therapists
Healthcare,"Child, family, and school social worker",21-1021.00,"Child, Family, and School Social Workers"
Healthcare,Social and human service assistance,21-1093.00,Social and Human Service Assistants
Healthcare,Social and human service assistance,29-2099.08,Patient Representatives
Healthcare,Social and human service assistance,29-9092.00,Genetic Counselors
Healthcare,Mental health counselor,19-3033.00,Clinical and Counseling Psychologists
Healthcare,Mental health counselor,21-1011.00,Substance Abuse and Behavioral Disorder Counselors
Healthcare,Mental health counselor,21-1014.00,Mental Health Counselors
Healthcare,Mental health counselor,21-1015.00,Rehabilitation Counselors
Healthcare,Mental health counselor,21-1019.00,"Counselors, All Other"
Healthcare,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Healthcare,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Healthcare,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Healthcare,Administrative staff,15-1299.03,Document Management Specialists
Healthcare,Administrative staff,19-3032.00,Industrial-Organizational Psychologists
Healthcare,Administrative staff,29-2072.00,Medical Records Specialists
Healthcare,Administrative staff,31-9094.00,Medical Transcriptionists
Healthcare,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Healthcare,Administrative staff,43-2021.00,Telephone Operators
Healthcare,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Healthcare,Administrative staff,43-4171.00,Receptionists and Information Clerks
Healthcare,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Healthcare,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Healthcare,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Healthcare,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Healthcare,Administrative staff,43-9021.00,Data Entry Keyers
Healthcare,Administrative staff,43-9022.00,Word Processors and Typists
Healthcare,Administrative staff,43-9031.00,Desktop Publishers
Healthcare,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Healthcare,Administrative staff,43-9199.02,Regulatory Affairs Managers
Healthcare,Administrative staff,43-9199.03,Compliance Managers
Healthcare,Administrative staff,43-9199.04,Fundraisers
Healthcare,Administrative staff,43-9199.05,Health Informatics Specialists
Healthcare,Other,15-2011.00,Actuaries
Healthcare,Other,15-2051.02,Clinical Data Managers
Healthcare,Other,21-1091.00,Health Education Specialists
Healthcare,Other,21-1094.00,Community Health Workers
Healthcare,Other,29-1031.00,Dietitians and Nutritionists
Healthcare,Other,29-1122.00,Occupational Therapists
Healthcare,Other,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists"
Healthcare,Other,29-1124.00,Radiation Therapists
Healthcare,Other,29-1126.00,Respiratory Therapists
Healthcare,Other,29-1127.00,Speech-Language Pathologists
Healthcare,Other,31-9099.01,Speech-Language Pathology Assistants
Healthcare,Other,29-1129.00,"Therapists, All Other"
Healthcare,Other,29-1129.01,Art Therapists
Healthcare,Other,29-1129.02,Music Therapists
Healthcare,Other,29-2081.00,"Opticians, Dispensing"
Healthcare,Other,29-2091.00,Orthotists and Prosthetists
Healthcare,Other,29-2092.00,Hearing Aid Specialists
Healthcare,Other,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other"
Healthcare,Other,31-9099.00,"Healthcare Support Workers, All Other"
Healthcare,Other,31-9093.00,Medical Equipment Preparers
Healthcare,Other,49-9062.00,Medical Equipment Repairers
,,,
,,,
Dental,Dentist,29-1021.00,"Dentists, General"
Dental,Dentist,29-1029.00,"Dentists, All Other Specialists"
Dental,Oral surgeon,29-1022.00,Oral and Maxillofacial Surgeons
Dental,Orthodontist,29-1023.00,Orthodontists
Dental,Prosthodontist,29-1024.00,Prosthodontists
Dental,Dental hygienist,29-1292.00,Dental Hygienists
Dental,Dental assistant,31-9091.00,Dental Assistants
Dental,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Dental,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Dental,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Dental,Administrative staff,15-1299.03,Document Management Specialists
Dental,Administrative staff,31-9094.00,Medical Transcriptionists
Dental,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Dental,Administrative staff,43-2021.00,Telephone Operators
Dental,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Dental,Administrative staff,43-4171.00,Receptionists and Information Clerks
Dental,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Dental,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Dental,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Dental,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Dental,Administrative staff,43-9021.00,Data Entry Keyers
Dental,Administrative staff,43-9022.00,Word Processors and Typists
Dental,Administrative staff,43-9031.00,Desktop Publishers
Dental,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Dental,Other,11-9121.01,Clinical Research Coordinators
Dental,Other,11-9199.01,Regulatory Affairs Managers
Dental,Other,11-9199.02,Compliance Managers
Dental,Other,15-1211.01,Health Informatics Specialists
Dental,Other,31-9093.00,Medical Equipment Preparers
Dental,Other,51-9081.00,Dental Laboratory Technicians
,,,
,,,
Childcare,Childcare worker,39-9011.00,Childcare Workers
Childcare,Social worker or counselor,21-1021.00,"Child, Family, and School Social Workers"
Childcare,Social worker or counselor,21-1029.00,"Social Workers, All Other"
Childcare,Social worker or counselor,21-1093.00,Social and Human Service Assistants
Childcare,Nanny,39-9011.01,Nannies
Childcare,Babysitter,39-9011.00,Childcare Workers
Childcare,Babysitter,39-9011.02,Nannies
Childcare,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Childcare,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Childcare,Janitor or maintenance,37-2012.00,Maids and Housekeeping Cleaners
Childcare,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Childcare,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Childcare,Administrative staff,15-1299.03,Document Management Specialists
Childcare,Administrative staff,19-3032.00,Industrial-Organizational Psychologists
Childcare,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Childcare,Administrative staff,43-2021.00,Telephone Operators
Childcare,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Childcare,Administrative staff,43-4171.00,Receptionists and Information Clerks
Childcare,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Childcare,Other,11-9121.01,Clinical Research Coordinators
Childcare,Other,11-9199.01,Regulatory Affairs Managers
Childcare,Other,11-9199.02,Compliance Managers
,,,
,,,
"Congregate Living (Nursing home, Assisted living, Group Home)",Resident,39-9041.00,Residential Advisors
"Congregate Living (Nursing home, Assisted living, Group Home)",Home health aide,31-1121.00,Home Health Aides
"Congregate Living (Nursing home, Assisted living, Group Home)",Home health aide,31-1133.00,Psychiatric Aides
"Congregate Living (Nursing home, Assisted living, Group Home)",Housekeeper / cleaner,37-2012.00,Maids and Housekeeping Cleaners
"Congregate Living (Nursing home, Assisted living, Group Home)",Housekeeper / cleaner,37-2019.00,"Building Cleaning Workers, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Orderly,31-1132.00,Orderlies
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1031.00,Dietitians and Nutritionists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1041.00,Optometrists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1181.00,Audiologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1211.00,Anesthesiologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1212.00,Cardiologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1215.00,Family Medicine Physicians
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1216.00,General Internal Medicine Physicians
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1218.00,Obstetricians and Gynecologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1221.00,"Pediatricians, General"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1222.00,"Physicians, Pathologists"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1223.00,Psychiatrists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1224.00,Radiologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1229.00,"Physicians, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1229.01,Allergists and Immunologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1229.03,Urologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1229.04,Physical Medicine and Rehabilitation Physicians
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1229.05,Preventive Medicine Physicians
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1229.06,Sports Medicine Physicians
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1241.00,"Ophthalmologists, Except Pediatric"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1242.00,"Orthopedic Surgeons, Except Pediatric"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1249.00,"Surgeons, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1299.01,Naturopathic Physicians
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician,29-1299.02,Orthoptists
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician assistant,29-1071.00,Physician Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician assistant,29-1071.01,Anesthesiologist Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Physician assistant,29-9093.00,Surgical Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-1141.00,Registered Nurses
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-1141.01,Acute Care Nurses
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-1141.02,Advanced Practice Psychiatric Nurses
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-1141.03,Critical Care Nurses
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-1141.04,Clinical Nurse Specialists
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-1151.00,Nurse Anesthetists
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,29-2061.00,Licensed Practical and Licensed Vocational Nurses
"Congregate Living (Nursing home, Assisted living, Group Home)",Nursing,31-1131.00,Nursing Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Medical assistant,31-9092.00,Medical Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
"Congregate Living (Nursing home, Assisted living, Group Home)",Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
"Congregate Living (Nursing home, Assisted living, Group Home)",Janitor or maintenance,37-2012.00,Maids and Housekeeping Cleaners
"Congregate Living (Nursing home, Assisted living, Group Home)",Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,13-1082.00,Project Management Specialists
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,15-1299.03,Document Management Specialists
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,19-3032.00,Industrial-Organizational Psychologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,31-9094.00,Medical Transcriptionists
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-2021.00,Telephone Operators
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-4171.00,Receptionists and Information Clerks
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-9021.00,Data Entry Keyers
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-9022.00,Word Processors and Typists
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-9031.00,Desktop Publishers
"Congregate Living (Nursing home, Assisted living, Group Home)",Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-2021.00,Marketing Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,13-1161.00,Market Research Analysts and Marketing Specialists
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,13-1161.01,Search Marketing Strategists
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-9051.00,Food Service Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-9081.00,Lodging Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-9111.00,Medical and Health Services Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-9199.01,Regulatory Affairs Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-9199.02,Compliance Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,13-1121.00,"Meeting, Convention, and Event Planners"
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,13-1131.00,Fundraisers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,31-9093.00,Medical Equipment Preparers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,11-9151.00,Social and Community Service Managers
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,19-3033.00,Clinical and Counseling Psychologists
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,21-1014.00,Mental Health Counselors
"Congregate Living (Nursing home, Assisted living, Group Home)",Other,21-1019.00,"Counselors, All Other"
,,,
,,,
Faith-based organization,Clergy,21-2011.00,Clergy
Faith-based organization,Choir / Music,27-2042.00,Musicians and Singers
Faith-based organization,Religious education,21-2021.00,"Directors, Religious Activities and Education"
Faith-based organization,Religious activities,13-1121.00,"Meeting, Convention, and Event Planners"
Faith-based organization,Religious activities,39-9032.00,Recreation Workers
Faith-based organization,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Faith-based organization,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Faith-based organization,Janitor or maintenance,37-2012.00,Maids and Housekeeping Cleaners
Faith-based organization,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Faith-based organization,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Faith-based organization,Administrative staff,15-1299.03,Document Management Specialists
Faith-based organization,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Faith-based organization,Administrative staff,43-2021.00,Telephone Operators
Faith-based organization,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Faith-based organization,Administrative staff,43-4171.00,Receptionists and Information Clerks
Faith-based organization,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Faith-based organization,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Faith-based organization,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Faith-based organization,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Faith-based organization,Administrative staff,43-9021.00,Data Entry Keyers
Faith-based organization,Administrative staff,43-9022.00,Word Processors and Typists
Faith-based organization,Administrative staff,43-9031.00,Desktop Publishers
Faith-based organization,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Faith-based organization,Other,11-9199.02,Compliance Managers
Faith-based organization,Other,13-1131.00,Fundraisers
Faith-based organization,Other,21-2099.00,"Religious Workers, All Other"
,,,
,,,
Gym,Personal coach or trainer,29-9091.00,Athletic Trainers
Gym,Personal coach or trainer,39-9031.00,Exercise Trainers and Group Fitness Instructors
Gym,Group coach or instructor,39-9031.00,Exercise Trainers and Group Fitness Instructors
Gym,Locker room attendant,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants"
Gym,Recreation worker,39-9032.00,Recreation Workers
Gym,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Gym,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Gym,Janitor or maintenance,37-2012.00,Maids and Housekeeping Cleaners
Gym,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Gym,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Gym,Administrative staff,15-1299.03,Document Management Specialists
Gym,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Gym,Administrative staff,43-2021.00,Telephone Operators
Gym,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Gym,Administrative staff,43-4171.00,Receptionists and Information Clerks
Gym,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Gym,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Gym,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Gym,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Gym,Administrative staff,43-9021.00,Data Entry Keyers
Gym,Administrative staff,43-9022.00,Word Processors and Typists
Gym,Administrative staff,43-9031.00,Desktop Publishers
Gym,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Gym,Other,11-2011.00,Advertising and Promotions Managers
Gym,Other,11-2021.00,Marketing Managers
Gym,Other,13-1161.00,Market Research Analysts and Marketing Specialists
Gym,Other,13-1161.01,Search Marketing Strategists
Gym,Other,11-3111.00,Compensation and Benefits Managers
Gym,Other,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
Gym,Other,11-9179.01,Fitness and Wellness Coordinators
Gym,Other,11-9199.01,Regulatory Affairs Managers
Gym,Other,11-9199.02,Compliance Managers
Gym,Other,11-9199.08,Loss Prevention Managers
,,,
,,,
Hair Salon / Barbershop,Barber,39-5011.00,Barbers
Hair Salon / Barbershop,Hairdresser or hairstylist,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Hair Salon / Barbershop,Cosmetologist,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists"
Hair Salon / Barbershop,Shampooer,39-5093.00,Shampooers
Hair Salon / Barbershop,Other personal appearance worker,39-9099.00,"Personal Care and Service Workers, All Other"
Hair Salon / Barbershop,Janitor or maintenance,37-1011.00,First-Line Supervisors of Housekeeping and Janitorial Workers
Hair Salon / Barbershop,Janitor or maintenance,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
Hair Salon / Barbershop,Janitor or maintenance,37-2019.00,"Building Cleaning Workers, All Other"
Hair Salon / Barbershop,Administrative staff,13-1121.00,"Meeting, Convention, and Event Planners"
Hair Salon / Barbershop,Administrative staff,15-1299.03,Document Management Specialists
Hair Salon / Barbershop,Administrative staff,43-2011.00,"Switchboard Operators, Including Answering Service"
Hair Salon / Barbershop,Administrative staff,43-2021.00,Telephone Operators
Hair Salon / Barbershop,Administrative staff,43-2099.00,"Communications Equipment Operators, All Other"
Hair Salon / Barbershop,Administrative staff,43-4171.00,Receptionists and Information Clerks
Hair Salon / Barbershop,Administrative staff,43-6011.00,Executive Secretaries and Executive Administrative Assistants
Hair Salon / Barbershop,Administrative staff,43-6012.00,Legal Secretaries and Administrative Assistants
Hair Salon / Barbershop,Administrative staff,43-6013.00,Medical Secretaries and Administrative Assistants
Hair Salon / Barbershop,Administrative staff,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
Hair Salon / Barbershop,Administrative staff,43-9021.00,Data Entry Keyers
Hair Salon / Barbershop,Administrative staff,43-9022.00,Word Processors and Typists
Hair Salon / Barbershop,Administrative staff,43-9031.00,Desktop Publishers
Hair Salon / Barbershop,Administrative staff,43-9199.00,"Office and Administrative Support Workers, All Other"
Hair Salon / Barbershop,Other,11-2011.00,Advertising and Promotions Managers
Hair Salon / Barbershop,Other,11-2021.00,Marketing Managers
Hair Salon / Barbershop,Other,13-1161.00,Market Research Analysts and Marketing Specialists
Hair Salon / Barbershop,Other,13-1161.01,Search Marketing Strategists
Hair Salon / Barbershop,Other,13-1141.00,"Compensation, Benefits, and Job Analysis Specialists"
,,,
,,,
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Acupuncture,29-1291.00,Acupuncturists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Massage therapy,31-9011.00,Massage Therapists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Makeup artist or cosmetologist,39-5091.00,"Makeup Artists, Theatrical and Performance"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Manicurist or pedicurist,39-5092.00,Manicurists and Pedicurists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Tattoo artist,27-1019.00,"Artists and Related Workers, All Other"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Skincare,39-5094.00,Skincare Specialists
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Personal care,39-9099.00,"Personal Care and Service Workers, All Other"
"Personal Services (Nail, Massage, Tattoo, Facialist, Other)",Dry cleaning or other clothing services,51-6011.00,Laundry and Dry-Cleaning Workers
